service,protocol_type,flag,attack_class
7711,121569,89820,80804
5197,17614,89820,80804
26627,121569,36864,67713
48191,121569,89820,80804
48191,121569,89820,80804
26627,121569,15083,67713
26627,121569,36864,67713
26627,121569,36864,67713
92,121569,36864,67713
26627,121569,36864,67713
26627,121569,15083,67713
26627,121569,36864,67713
48191,121569,89820,80804
7711,121569,89820,67713
488,121569,36864,67713
383,121569,36864,67713
48191,121569,89820,80804
4848,9334,89820,67713
48191,121569,89820,80804
48191,121569,89820,80804
471,121569,36864,67713
26627,121569,36864,67713
48191,121569,89820,80804
5197,17614,89820,80804
471,121569,36864,67713
3979,121569,89820,80804
26627,121569,36864,67713
48191,121569,89820,80804
48191,121569,89820,80804
48191,121569,89820,80804
4848,9334,89820,67713
1903,121569,36864,67713
48191,121569,89820,80804
26627,121569,15083,67713
9937,17614,89820,80804
26627,17614,89820,80804
9937,17614,89820,80804
571,121569,36864,67713
48191,121569,89820,80804
735,121569,36864,67713
7711,121569,36864,67713
907,121569,36864,67713
8247,121569,89820,80804
5197,17614,89820,80804
48191,121569,89820,80804
579,121569,36864,67713
26627,17614,89820,67713
48191,121569,89820,80804
7711,121569,89820,67713
7711,121569,36864,67713
48191,121569,89820,80804
26627,121569,15083,67713
26627,17614,89820,67713
48191,121569,89820,80804
9937,17614,89820,80804
9937,17614,89820,80804
4848,9334,89820,67713
830,121569,36864,67713
1903,121569,36864,67713
9937,17614,89820,80804
7711,121569,89820,80804
26627,121569,15083,67713
26627,121569,15083,67713
48191,121569,89820,80804
26627,121569,15083,67713
8247,121569,89820,80804
430,121569,3090,67713
48191,121569,36864,67713
430,121569,15083,67713
571,121569,36864,67713
48191,121569,89820,80804
26627,121569,36864,67713
625,9334,89820,80804
9937,17614,89820,80804
26627,121569,36864,67713
7711,121569,89820,80804
1022,121569,36864,67713
48191,121569,89820,80804
48191,121569,89820,80804
26627,121569,15083,67713
48191,121569,89820,80804
735,121569,15083,67713
620,121569,36864,67713
4848,9334,89820,67713
48191,121569,89820,80804
26627,121569,36864,67713
48191,121569,89820,80804
2446,121569,36864,67713
26627,121569,15083,67713
5197,17614,89820,80804
48191,121569,89820,80804
48191,121569,89820,80804
9937,17614,89820,80804
26627,121569,15083,67713
579,121569,36864,67713
8247,121569,89820,80804
5197,17614,89820,80804
48191,121569,89820,80804
5197,17614,89820,80804
26627,121569,36864,67713
48191,121569,89820,80804
48191,121569,89820,80804
48191,121569,15083,80804
48191,121569,89820,80804
26627,17614,89820,67713
48191,121569,89820,80804
48191,121569,89820,80804
48191,121569,89820,80804
48191,121569,89820,80804
48191,121569,15083,80804
48191,121569,89820,80804
8247,121569,89820,80804
48191,121569,15083,80804
48191,121569,89820,80804
48191,121569,89820,80804
26627,121569,3090,67713
907,121569,15083,67713
26627,17614,89820,80804
48191,121569,89820,80804
48191,121569,89820,80804
735,121569,15083,67713
756,121569,15083,67713
579,121569,36864,67713
48191,121569,89820,80804
756,121569,36864,67713
1903,121569,89820,80804
9937,17614,89820,80804
8247,121569,89820,80804
9937,17614,89820,80804
2446,121569,89820,80804
26627,121569,36864,67713
429,121569,15083,67713
48191,121569,89820,80804
48191,121569,89820,80804
26627,121569,36864,67713
571,121569,36864,67713
5197,17614,89820,80804
